early_access,genres_encoded,metascore,año,price
False,1,64,2009,4.99
False,5,64,2009,4.99
False,5,64,2009,4.99
False,10,77,2005,9.99
False,10,77,2005,9.99
False,1,73,2009,5.99
False,2,73,2009,5.99
False,10,73,2009,5.99
False,1,61,2009,4.99
False,1,61,2009,4.99
False,1,61,2009,4.99
False,1,73,2007,9.99
False,1,73,2007,9.99
False,2,73,2007,9.99
False,2,73,2007,9.99
False,5,73,2007,9.99
False,5,73,2007,9.99
False,1,83,2007,19.99
False,1,83,2007,19.99
False,1,83,2007,19.99
False,1,83,2007,19.99
False,6,75,2009,9.99
False,7,87,2009,19.99
False,7,87,2009,19.99
False,1,75,2009,9.99
False,1,75,2009,9.99
False,5,75,2009,9.99
False,5,75,2009,9.99
False,6,65,2009,9.99
False,6,65,2009,9.99
False,6,65,2009,9.99
False,6,65,2009,9.99
False,6,65,2009,9.99
False,6,65,2009,9.99
False,6,65,2009,9.99
False,10,65,2009,9.99
False,1,54,2009,9.99
False,1,54,2009,9.99
False,1,54,2009,9.99
False,2,54,2009,9.99
False,2,54,2009,9.99
False,2,54,2009,9.99
False,6,54,2009,9.99
False,6,54,2009,9.99
False,6,54,2009,9.99
False,1,77,2009,9.99
False,1,77,2009,9.99
False,1,77,2009,9.99
False,1,77,2009,9.99
False,5,77,2009,9.99
False,5,77,2009,9.99
False,5,77,2009,9.99
False,5,77,2009,9.99
False,6,79,2008,6.99
False,6,79,2008,6.99
False,10,79,2008,6.99
False,10,79,2008,6.99
False,7,53,2009,2.99
False,7,53,2009,2.99
False,6,90,2002,4.99
False,6,90,2002,4.99
False,10,90,2002,4.99
False,10,90,2002,4.99
False,5,66,2009,14.99
False,5,66,2009,14.99
False,8,66,2009,14.99
False,8,66,2009,14.99
False,10,66,2009,14.99
False,10,66,2009,14.99
False,1,79,2009,19.99
False,2,79,2009,19.99
False,10,75,2004,4.99
False,6,94,2007,14.99
False,6,94,2007,14.99
False,6,89,2002,14.99
False,6,89,2002,14.99
False,1,78,2009,9.99
False,2,79,2007,6.99
False,2,68,2006,6.99
False,2,69,2008,6.99
False,2,73,2007,6.99
False,2,79,2009,19.99
False,1,91,2009,19.99
False,1,91,2009,19.99
False,1,91,2009,19.99
False,1,70,2007,9.99
False,1,70,2007,9.99
False,1,70,2007,9.99
False,1,70,2007,9.99
False,1,70,2007,9.99
False,1,70,2007,9.99
False,1,70,2007,9.99
False,2,70,2007,9.99
False,2,70,2007,9.99
False,2,70,2007,9.99
False,2,70,2007,9.99
False,2,70,2007,9.99
False,2,70,2007,9.99
False,2,70,2007,9.99
False,7,70,2007,9.99
False,7,70,2007,9.99
False,7,70,2007,9.99
False,7,70,2007,9.99
False,7,70,2007,9.99
False,7,70,2007,9.99
False,7,70,2007,9.99
False,8,70,2007,9.99
False,8,70,2007,9.99
False,8,70,2007,9.99
False,8,70,2007,9.99
False,8,70,2007,9.99
False,8,70,2007,9.99
False,8,70,2007,9.99
False,10,70,2007,9.99
False,10,70,2007,9.99
False,10,70,2007,9.99
False,10,70,2007,9.99
False,10,70,2007,9.99
False,10,70,2007,9.99
False,10,70,2007,9.99
False,1,78,2003,5.99
False,1,78,2003,5.99
False,1,78,2005,9.99
False,1,78,2005,9.99
False,1,78,2005,9.99
False,1,78,2008,19.99
False,1,78,2008,19.99
False,1,78,2008,19.99
False,1,78,2008,19.99
False,1,78,2008,19.99
False,2,78,2008,19.99
False,2,78,2008,19.99
False,2,78,2008,19.99
False,2,78,2008,19.99
False,2,78,2008,19.99
False,2,86,2009,9.99
False,2,86,2009,9.99
False,2,86,2009,9.99
False,1,51,2009,9.99
False,7,51,2009,9.99
False,2,78,2009,6.99
False,2,78,2009,6.99
False,1,71,2007,19.99
False,1,71,2007,19.99
False,1,86,2008,9.99
False,1,86,2008,9.99
False,1,86,2008,9.99
False,1,69,2009,9.99
False,1,69,2009,9.99
False,1,69,2009,9.99
False,1,69,2009,9.99
False,2,69,2009,9.99
False,2,69,2009,9.99
False,2,69,2009,9.99
False,2,69,2009,9.99
False,1,44,2009,4.99
False,1,44,2009,4.99
False,1,44,2009,4.99
False,5,80,2009,9.99
False,5,80,2009,9.99
False,3,80,2009,9.99
False,3,80,2009,9.99
False,6,86,1998,9.99
False,6,86,1998,9.99
False,10,82,2001,9.99
False,10,82,2001,9.99
False,10,82,2001,9.99
False,2,84,2009,4.99
False,5,84,2009,4.99
False,1,92,2005,9.99
False,1,74,2009,9.99
False,2,74,2009,9.99
False,6,77,2009,9.99
False,6,77,2009,9.99
False,2,85,2009,9.99
False,2,85,2009,9.99
False,2,85,2009,9.99
False,2,85,2009,9.99
False,2,85,2009,9.99
False,2,85,2009,9.99
False,5,85,2009,9.99
False,5,85,2009,9.99
False,5,85,2009,9.99
False,5,85,2009,9.99
False,5,85,2009,9.99
False,5,85,2009,9.99
False,1,78,2007,9.99
False,1,78,2007,9.99
False,7,83,2009,19.99
False,7,83,2009,19.99
False,6,83,2009,14.99
False,6,83,2009,14.99
False,6,83,2009,14.99
False,6,83,2009,14.99
